Date,SPY,QQQ,IWM,XLE,XLF,EEM,VGK,INDA,FXI,KSA
2023-01-03,366.0690307617188,259.7958374023437,166.6932830810547,38.12516021728516,32.703880310058594,35.493431091308594,50.90528869628906,41.52029800415039,27.235069274902344,35.21717071533203
2023-01-04,368.8952026367188,261.0336303710937,168.76971435546875,38.12063980102539,33.227989196777344,36.56139373779297,51.87551498413086,41.48065948486328,28.972097396850582,35.01572036743164
2023-01-05,364.6848449707031,256.947265625,166.96240234375,38.81629180908203,32.980228424072266,36.449951171875,51.40399932861328,41.183380126953125,28.907075881958008,34.74101638793945
2023-01-06,373.0478515625,264.03936767578125,170.71157836914062,39.552581787109375,33.7139778137207,37.211456298828125,52.7732048034668,41.69866561889648,28.981388092041016,35.20801544189453
2023-01-09,372.83642578125,265.7486572265625,170.99998474121094,39.41256332397461,33.59009552001953,37.49005126953125,53.10870361328125,41.787845611572266,28.981388092041016,35.36368179321289
2023-01-10,375.4509582519531,267.998046875,173.5282745361328,39.69262313842773,33.78067779541016,37.75936508178711,53.36259841918945,41.77793884277344,29.34365463256836,35.29957962036133
2023-01-11,380.19964599609375,272.6343688964844,175.69125366210938,39.81459426879883,34.09513854980469,37.917240142822266,53.743431091308594,41.80766677856445,29.640899658203125,35.180545806884766
2023-01-12,381.5838928222656,274.1078796386719,178.6425018310547,40.5734748840332,34.16183853149414,38.102970123291016,54.40536880493164,42.0752182006836,29.390098571777344,35.922245025634766
2023-01-13,383.0642700195313,275.9938659667969,179.8153076171875,40.6322021484375,34.419132232666016,38.35370635986328,54.65925979614258,42.0752182006836,29.8080997467041,35.99549865722656
2023-01-17,382.3625183105469,276.55377197265625,179.59422302246094,40.71803283691406,34.1904296875,38.14011001586914,54.79526519775391,42.08512878417969,29.15787506103516,35.53766250610352
2023-01-18,376.3257751464844,272.9585876464844,176.6909942626953,39.97269058227539,33.551979064941406,37.88008880615234,54.632057189941406,42.0752182006836,28.869916915893555,35.17138671875
2023-01-19,373.5862121582031,270.2769470214844,174.99908447265625,40.46958923339844,33.161285400390625,38.16797256469727,54.36003112792969,42.12476348876953,29.44583320617676,35.528499603271484
2023-01-20,380.5456848144531,277.6735534667969,177.88304138183594,40.871620178222656,33.68538284301758,38.75303268432617,54.82247161865234,42.29322814941406,30.179656982421875,35.71163558959961
2023-01-23,385.11175537109375,283.8423156738281,180.08445739746094,40.925819396972656,34.07607650756836,39.0316276550293,55.07636642456055,42.134674072265625,30.514055252075195,35.77574157714844
2023-01-24,384.6983642578125,283.26275634765625,179.69998168945312,40.76772689819336,34.09513854980469,39.05949020385742,54.92221450805664,41.74821090698242,30.458324432373047,35.81236267089844
2023-01-25,384.8426208496094,282.6341552734375,180.1998443603516,40.77224349975586,34.36195373535156,39.09663772583008,55.13984298706055,41.38156509399414,30.523345947265625,35.9405632019043
2023-01-26,389.07220458984375,288.1447448730469,181.26690673828125,42.05963897705078,34.54300308227539,39.46809768676758,55.20331573486328,41.54011154174805,30.922765731811523,36.01381301879883
2023-01-27,389.9660949707031,291.0130920410156,182.2474670410156,41.21040725708008,34.54300308227539,39.28236770629883,55.02196502685547,40.47980880737305,30.867033004760746,36.03213119506836
2023-01-30,385.07330322265625,285.129150390625,179.7095489501953,40.26630401611328,34.37148666381836,38.49300765991211,54.68646240234375,40.41044235229492,29.72450065612793,35.66585922241211
2023-01-31,390.7351989746094,289.4020690917969,184.07395935058597,40.623172760009766,34.83841323852539,38.409423828125,55.07636642456055,40.61854553222656,29.538719177246094,35.903934478759766
2023-02-01,394.8877868652344,295.5905456542969,186.96755981445312,39.82362365722656,34.83841323852539,38.8830451965332,55.71109771728516,39.80597305297852,30.19823265075684,35.71163558959961
2023-02-02,400.6361389160156,306.1991882324219,190.6493988037109,38.915672302246094,34.9337043762207,38.65087890625,55.81084060668945,39.82579040527344,29.603744506835938,35.54681396484375
2023-02-03,396.3778076171875,300.7573547363281,189.3708648681641,38.82984161376953,34.86699295043945,37.96367263793945,55.25771713256836,39.69697189331055,28.879207611083984,35.29957962036133
2023-02-06,393.9553833007813,298.2132568359375,186.63107299804688,38.65367126464844,34.85746765136719,37.406471252441406,54.65925979614258,39.647422790527344,28.4426326751709,34.805110931396484
2023-02-07,399.1077270507813,304.39190673828125,188.0153961181641,39.909446716308594,35.2576904296875,37.5550537109375,55.05823516845703,39.57805633544922,28.684141159057617,34.4388427734375
2023-02-08,394.7436218261719,298.9794616699219,185.2659912109375,39.552581787109375,35.04804229736328,37.50862503051758,54.831539154052734,40.1627082824707,28.28472137451172,34.457157135009766
2023-02-09,391.3215026855469,296.3370056152344,182.5839080810547,39.21380233764648,34.65735626220703,37.6850700378418,54.92221450805664,39.905067443847656,28.81418800354004,34.054256439208984
2023-02-10,392.2346801757813,294.39215087890625,182.94923400878903,40.74964904785156,34.77170181274414,37.32289505004883,54.47791290283203,39.97443008422852,27.99676322937012,34.17329406738281
2023-02-13,396.8391723632813,299.1070861816406,185.15066528320312,40.64575958251953,35.17192840576172,37.62935256958008,55.24864959716797,39.706878662109375,28.46121025085449,34.79595947265625
2023-02-14,396.6565246582031,301.3172607421875,185.0641326904297,40.659305572509766,34.98134231567383,37.56435012817383,55.5116081237793,39.69697189331055,28.20111846923828,34.457157135009766
2023-02-15,397.9446411132813,303.62567138671875,186.938720703125,39.96817398071289,35.01945877075195,37.24859619140625,55.45719909667969,40.113162994384766,27.978185653686523,34.98825454711914
2023-02-16,392.4654541015625,297.9283447265625,185.15066528320312,39.57518005371094,34.6668815612793,37.25788497924805,55.13984298706055,40.09334564208984,27.99676322937012,34.83258438110352
2023-02-17,391.4849853515625,295.8262939453125,185.66017150878903,38.16581344604492,34.676414489746094,36.84927749633789,55.44813919067383,39.9546127319336,27.43014144897461,34.75017166137695
2023-02-21,383.6313781738281,288.8225402832031,180.1806182861328,37.9760856628418,33.961727142333984,36.38494491577149,54.81341552734375,39.50869369506836,27.11431884765625,33.75208282470703
2023-02-22,383.1027221679688,289.0386657714844,180.67086791992188,37.7231330871582,33.92361068725586,36.20849990844727,54.47791290283203,38.97358322143555,26.88209342956543,33.61472702026367
2023-02-23,385.1405944824219,291.56317138671875,181.95904541015625,38.29228973388672,33.95220947265625,36.38494491577149,54.82247161865234,39.04295349121094,26.733474731445312,33.477378845214844
2023-02-24,381.0263671875,286.6810913085937,180.2575225830078,38.24259948730469,33.98078536987305,35.56772232055664,53.87944793701172,38.63666534423828,25.925336837768555,33.38580703735352
2023-02-27,382.3240661621094,288.7341003417969,180.8919677734375,38.35553741455078,33.97125244140625,35.75345993041992,54.67738723754883,38.63666534423828,26.269025802612305,33.0653190612793
2023-02-28,380.9110107421875,288.3608703613281,180.90158081054688,37.80443954467773,34.037967681884766,35.502716064453125,54.133338928222656,38.44839096069336,25.97178077697754,33.22098159790039
2023-03-01,379.4498596191406,286.04266357421875,181.13232421875,38.54977035522461,33.92361068725586,36.26422119140625,54.47791290283203,38.85467147827149,27.04929542541504,33.67881774902344
2023-03-02,382.4009399414063,288.40997314453125,181.5648956298828,38.8885612487793,33.761619567871094,36.394229888916016,54.51417922973633,38.99340438842773,27.54160690307617,34.03593826293945
2023-03-03,388.5338439941406,294.3724060058594,184.0931854248047,39.41707229614258,34.29525375366211,36.71926498413086,55.21238327026367,39.7266960144043,27.504451751708984,34.19160461425781
2023-03-06,388.802978515625,294.7064514160156,181.4015045166016,39.43514633178711,34.32383346557617,36.58926010131836,55.11262512207031,39.82579040527344,27.197917938232425,34.603668212890625
2023-03-07,382.8431396484375,291.09161376953125,179.2961883544922,38.7485237121582,33.4376335144043,35.97633743286133,53.961055755615234,39.498779296875,26.705602645874023,34.24654769897461
2023-03-08,383.4679870605469,292.5454406738281,179.3827362060547,38.35102462768555,33.313751220703125,36.12491989135742,54.14239883422852,39.86542892456055,26.417648315429688,34.333534240722656
2023-03-09,376.3930969238281,287.4767761230469,174.3934783935547,37.8089485168457,31.96061897277832,35.32627487182617,53.62555694580078,39.23122787475586,25.442312240600582,34.292335510253906
2023-03-10,370.9618835449219,283.4396057128906,169.36573791503906,37.32561492919922,31.37934112548828,35.14054107666016,53.19938278198242,38.983497619628906,25.423736572265625,34.24654769897461
2023-03-13,370.4331970214844,285.541748046875,166.60675048828125,36.56671905517578,30.14055633544922,35.19626235961914,52.81854248046875,38.36911392211914,25.581647872924805,33.7887077331543
2023-03-14,376.5564880371094,292.1033630371094,169.6925811767578,36.9281005859375,30.75042152404785,35.21482849121094,53.79783630371094,38.51775360107422,25.74884605407715,33.62388229370117
2023-03-15,374.2013854980469,293.6357421875,166.8951416015625,34.94505310058594,29.9309196472168,34.611202239990234,51.76670455932617,37.69527816772461,25.38658142089844,33.0286865234375
2023-03-16,380.7668151855469,301.3761901855469,169.17344665527344,35.324493408203125,30.50266456604004,35.14054107666016,52.54651641845703,38.34929275512695,25.71169090270996,33.166038513183594
2023-03-17,376.3146057128906,299.9518737792969,164.60719299316406,34.76888656616211,29.521167755126957,34.926944732666016,51.75764465332031,38.03219604492188,25.646671295166016,32.992061614990234
2023-03-20,379.9331359863281,301.016357421875,166.74130249023438,35.464942932128906,29.84963607788086,35.05696105957031,52.7706413269043,38.20065307617188,25.628093719482425,33.926055908203125
2023-03-21,384.9217529296875,305.31561279296875,169.8175506591797,36.692752838134766,30.606170654296875,35.37270736694336,53.78091430664063,38.279930114746094,25.990358352661133,34.35643005371094
2023-03-22,378.3602294921875,301.1639099121094,165.0013427734375,35.91225051879883,29.897520065307617,35.512001037597656,53.47145462036133,38.18083190917969,26.073957443237305,34.18245315551758
2023-03-23,379.3831481933594,304.73516845703125,164.26898193359375,35.41473388671875,29.6964168548584,36.00419616699219,53.48054885864258,38.36911392211914,26.891382217407227,34.640289306640625
2023-03-24,381.8726806640625,305.8567199707031,165.75486755371094,35.551666259765625,29.677265167236328,35.91132354736328,53.06188583374024,38.20065307617188,26.779916763305664,34.65860748291016
2023-03-27,382.5867004394531,303.7611999511719,167.5977783203125,36.30934524536133,30.089046478271484,35.71630859375,53.6807861328125,38.299747467041016,26.23187065124512,34.86005401611328
2023-03-28,381.7278747558594,302.1476745605469,167.35658264160156,36.87076187133789,30.079469680786133,36.2270736694336,53.635284423828125,38.0520133972168,27.309383392333984,34.84174346923828
2023-03-29,387.2762756347656,307.6570739746094,169.25738525390625,37.38196563720703,30.519983291625977,36.329227447509766,54.49992752075195,38.30965805053711,27.31867408752441,34.79595947265625
2023-03-30,389.5438537597656,310.56915283203125,169.02578735351562,37.54628372192383,30.45295143127441,36.69139862060547,55.328163146972656,38.4880256652832,27.78311920166016,35.40030670166016
2023-03-31,395.0343322753906,315.7342224121094,172.1326904296875,37.80644989013672,30.78812599182129,36.64496994018555,55.47379302978516,39.00331497192383,27.43014144897461,35.46440124511719
2023-04-03,396.5396728515625,314.9667358398437,172.20986938476562,39.5180778503418,30.845582962036133,36.71926498413086,55.86515808105469,39.132137298583984,27.309383392333984,36.26104736328125
2023-04-04,394.3396301269531,313.904296875,169.18984985351562,38.80148315429688,30.55828857421875,36.71926498413086,55.8742561340332,39.24113845825195,27.188629150390625,36.82877349853516
2023-04-05,393.30712890625,310.8052673339844,167.53025817871094,39.38571548461914,30.519983291625977,36.43138122558594,55.5648078918457,39.330322265625,26.872802734375,36.5449104309082
2023-04-06,394.8413696289063,312.9008178710937,167.78114318847656,38.78778076171875,30.63490104675293,36.579959869384766,56.038082122802734,39.58796691894531,27.20720672607422,36.64563751220703
2023-04-10,395.24658203125,312.72369384765625,169.57577514648438,39.09815979003906,30.70193672180176,36.61711120605469,56.038082122802734,39.56814956665039,27.11431884765625,36.453346252441406
2023-04-11,395.3527526855469,310.7167663574219,170.9169464111328,39.467872619628906,30.970075607299805,36.839988708496094,56.25652313232422,39.706878662109375,27.132896423339844,36.35262680053711
2023-04-12,393.7413024902344,307.9719543457031,169.66259765625,39.49525833129883,30.90304183959961,36.579959869384766,56.70249176025391,39.83570098876953,26.389781951904297,36.572383880615234
2023-04-13,398.9712524414063,314.002685546875,171.9107666015625,39.74173355102539,31.18075942993164,37.08143997192383,57.4670295715332,39.98434066772461,27.002849578857425,36.87456130981445
2023-04-14,397.9966735839844,313.4123229980469,170.30908203125,39.81476211547852,31.487201690673828,36.88642501831055,57.37601852416992,39.79606628417969,26.66844940185547,36.67310333251953
2023-04-17,399.4248352050781,313.6779479980469,172.49932861328125,39.34463119506836,31.85110664367676,37.04429244995117,57.10296630859375,39.65733337402344,27.39298439025879,37.12179183959961
2023-04-18,399.6853332519531,313.6976318359375,171.7660369873047,39.49981689453125,31.94686889648437,36.997859954833984,57.494327545166016,39.57805633544922,27.281518936157227,37.15842056274414
2023-04-19,399.6177673339844,313.550048828125,171.9879608154297,39.362884521484375,32.02347183227539,36.62639617919922,57.36691284179688,39.44923400878906,26.94711685180664,37.15842056274414
2023-04-20,397.4370422363281,311.159423828125,171.1002655029297,39.0160026550293,31.927719116210938,36.5706787109375,57.28499221801758,39.498779296875,26.770627975463867,36.929500579833984
2023-04-21,397.7458190917969,311.4840393066406,171.32223510742188,38.78778076171875,31.812801361083984,36.2270736694336,57.71276473999024,39.51860427856445,26.3804931640625,36.94781112670898
2023-04-24,398.1607360839844,310.83477783203125,171.2064208984375,39.38114547729492,31.736188888549805,36.14349365234375,57.94940185546875,39.82579040527344,26.11111640930176,37.03022384643555
2023-04-25,391.8404541015625,304.97125244140625,166.9802703857422,38.641719818115234,31.190336227416992,35.46556854248047,56.97554016113281,39.647422790527344,25.40515899658203,37.16757583618164
2023-04-26,390.1806335449219,306.82086181640625,165.36895751953125,38.125953674316406,30.893463134765625,35.66987991333008,57.02105331420898,39.89515686035156,25.82316017150879,37.25915145874024
2023-04-27,397.9484252929688,315.1636047363281,167.5784912109375,38.26288604736328,31.391433715820312,36.15277862548828,57.68546295166016,40.38071823120117,26.18542861938477,37.55216217041016
2023-04-28,401.3450012207031,317.3377685546875,169.0451202392578,38.85624694824219,31.76491355895996,36.3385124206543,57.76737594604492,40.74736022949219,26.31546974182129,37.69866561889648
2023-05-01,400.939697265625,316.9737548828125,169.14161682128906,38.41807556152344,31.67872428894043,36.2177848815918,57.77647399902344,40.74736022949219,26.213293075561523,37.524696350097656
2023-05-02,396.43353271484375,314.209228515625,165.66807556152344,36.74752807617188,30.96050262451172,35.864891052246094,57.10296630859375,40.68790817260742,25.72097969055176,37.03938293457031
2023-05-03,393.71234130859375,312.1531066894531,166.2759246826172,36.053741455078125,30.606170654296875,35.809181213378906,57.28499221801758,40.54917144775391,25.6002254486084,36.7280502319336
2023-05-04,390.9237365722656,311.0512390136719,164.41371154785156,35.652076721191406,30.21354103088379,36.0970573425293,56.993743896484375,40.88609313964844,26.28760528564453,36.96612548828125
2023-05-05,398.1607360839844,317.66241455078125,168.3214569091797,36.61972427368164,30.96050262451172,36.579959869384766,57.84928512573242,41.02482604980469,26.631296157836918,37.51553726196289
2023-05-08,398.266845703125,318.449462890625,167.9355010986328,36.61972427368164,31.008380889892575,36.59853744506836,57.8583984375,41.15364837646485,26.83564758300781,37.4697494506836
2023-05-09,396.5203552246094,316.4327087402344,167.43377685546875,36.6334114074707,30.893463134765625,36.37565994262695,57.40331268310547,41.09419631958008,26.417648315429688,37.49722290039063
2023-05-10,398.373046875,319.8760681152344,168.2828826904297,36.21805953979492,30.72109031677246,36.35708236694336,57.33050537109375,41.33201599121094,26.23187065124512,37.42396545410156
2023-05-11,397.6782531738281,320.9189147949219,166.98992919921875,35.784446716308594,30.673206329345703,36.2270736694336,57.08475875854492,41.08427810668945,26.51053810119629,37.56132125854492
2023-05-12,397.1572265625,319.7677917480469,166.65225219726562,35.83921813964844,30.54871368408203,35.79988479614258,56.93003463745117,40.94555282592773,25.813871383666992,37.460594177246094
2023-05-15,398.5273742675781,321.4992980957031,168.6881103515625,36.02179336547852,30.79769897460937,36.4592399597168,57.35780334472656,41.282470703125,26.974985122680664,37.56132125854492
2023-05-16,395.8641662597656,321.8633728027344,166.22767639160156,35.13630676269531,30.510412216186523,36.199214935302734,56.75710678100586,40.91582489013672,26.69631576538086,37.49722290039063
2023-05-17,400.6695861816406,325.7592163085937,169.9327850341797,35.81182861328125,31.1233024597168,36.36637496948242,57.00284576416016,40.85636901855469,26.417648315429688,37.84518432617188
2023-05-18,404.529296875,331.80963134765625,170.96519470214844,36.07200241088867,31.353139877319336,36.17135620117188,56.89362716674805,40.55908584594727,26.055381774902344,38.01000213623047
2023-05-19,403.940673828125,331.0619201660156,169.9231414794922,36.35042190551758,31.21906280517578,36.199214935302734,57.31230163574219,40.50954055786133,25.916046142578125,37.88180923461914
2023-05-22,404.1047668457031,332.1736145019531,171.9976043701172,36.19980239868164,31.27652359008789,36.49638748168945,57.23948287963867,40.88609313964844,26.334047317504883,37.9550666809082
2023-05-23,399.5695190429688,327.9629211425781,171.18710327148438,36.5877685546875,30.912616729736328,35.92989730834961,56.40214920043945,40.75727462768555,25.535202026367188,37.44228363037109
2023-05-24,396.6746215820313,326.2806091308594,169.37313842773438,36.74752807617188,30.510412216186523,35.660587310791016,55.5192985534668,40.81672668457031,25.024316787719727,37.37818145751953
2023-05-25,400.1099243164063,334.219970703125,168.05126953125,36.094825744628906,30.500831604003903,35.586299896240234,55.37367248535156,41.03473281860352,24.5134220123291,37.09432601928711
