Date,strategy_returns
2023-02-14,0.9995
2023-02-15,1.0005890776147695
2023-02-16,0.9905151096781525
2023-02-17,0.9907874880768023
2023-02-21,0.9703671738049185
2023-02-22,0.9692780961901492
2023-02-23,0.9700952313860984
2023-02-24,0.9709117126123031
2023-02-27,0.9701538783573472
2023-02-28,0.9701538783573472
2023-03-01,0.9701538783573472
2023-03-02,0.9701538783573472
2023-03-03,0.9701538783573472
2023-03-06,0.9701538783573472
2023-03-07,0.9701538783573472
2023-03-08,0.9701538783573472
2023-03-09,0.9701538783573472
2023-03-10,0.9701538783573472
2023-03-13,0.9701538783573472
2023-03-14,0.9701538783573472
2023-03-15,0.9701538783573472
2023-03-16,0.9701538783573472
2023-03-17,0.9701538783573472
2023-03-20,0.9701538783573472
2023-03-21,0.9701538783573472
2023-03-22,0.9701538783573472
2023-03-23,0.9701538783573472
2023-03-24,0.9701538783573472
2023-03-27,0.9701538783573472
2023-03-28,0.9701538783573472
2023-03-29,0.9701538783573472
2023-03-30,0.9701538783573472
2023-03-31,0.9701538783573472
2023-04-03,0.9701538783573472
2023-04-04,0.9701538783573472
2023-04-05,0.9701538783573472
2023-04-06,0.9701538783573472
2023-04-10,0.9701538783573472
2023-04-11,0.9701538783573472
2023-04-12,0.9701538783573472
2023-04-13,0.9701538783573472
2023-04-14,0.9701538783573472
2023-04-17,0.9696688014181686
2023-04-18,0.9725841685336623
2023-04-19,0.974916253185055
2023-04-20,0.9720011764042868
2023-04-21,0.9685026429585819
2023-04-24,0.9661702679724635
2023-04-25,0.949552437339673
2023-04-26,0.9405144915268324
2023-04-27,0.9556746095684036
2023-04-28,0.967044756166527
2023-05-01,0.9644208270487757
2023-05-02,0.9425554285152083
2023-05-03,0.9317682159795153
2023-05-04,0.9198150772520163
2023-05-05,0.9425554285152083
2023-05-08,0.9440130249725376
2023-05-09,0.9400424850143464
2023-05-10,0.9400424850143464
2023-05-11,0.9400424850143464
2023-05-12,0.9400424850143464
2023-05-15,0.9400424850143464
2023-05-16,0.9400424850143464
2023-05-17,0.9400424850143464
2023-05-18,0.9400424850143464
2023-05-19,0.9400424850143464
2023-05-22,0.9400424850143464
2023-05-23,0.9400424850143464
2023-05-24,0.9400424850143464
2023-05-25,0.9400424850143464
2023-05-26,0.9400424850143464
2023-05-30,0.9400424850143464
2023-05-31,0.9400424850143464
2023-06-01,0.9400424850143464
2023-06-02,0.9400424850143464
2023-06-05,0.9400424850143464
2023-06-06,0.9400424850143464
2023-06-07,0.9400424850143464
2023-06-08,0.9395724637718392
2023-06-09,0.9398560481471471
2023-06-12,0.9395724637718393
2023-06-13,0.9452428525044725
2023-06-14,0.9415569332464394
2023-06-15,0.954031822339281
2023-06-16,0.9520472963962667
2023-06-20,0.9449275328804744
2023-06-21,0.9437881696903935
2023-06-22,0.9363838618362548
2023-06-23,0.9323967965261476
2023-06-26,0.930403235636887
2023-06-27,0.937807769364682
2023-06-28,0.9355293817950047
