Date,strategy_returns
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-20,1.0
2023-03-21,1.0
2023-03-22,1.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,1.0
2023-03-30,1.0
2023-03-31,1.0
2023-04-03,1.0
2023-04-04,1.0
2023-04-05,0.9995
2023-04-06,0.9843260784859341
2023-04-10,0.9922026356333421
2023-04-11,1.001584919759153
2023-04-12,1.002279893012204
2023-04-13,1.008534749096078
2023-04-14,1.0103880111042143
2023-04-17,0.9984573949108012
2023-04-18,1.00239557667809
2023-04-19,0.9989206136064201
2023-04-20,0.9901177158741892
2023-04-21,0.9843260784859342
2023-04-24,0.9993840259148692
2023-04-25,0.9806194576632473
2023-04-26,0.9675307463275793
2023-04-27,0.9710057093992492
2023-04-28,0.9860635600217693
2023-05-01,0.9749439879729533
2023-05-02,0.9325501355047677
2023-05-03,0.9144774841340634
2023-05-04,0.9144774841340634
2023-05-05,0.9144774841340634
2023-05-08,0.9144774841340634
2023-05-09,0.9144774841340634
2023-05-10,0.9144774841340634
2023-05-11,0.9144774841340634
2023-05-12,0.9144774841340634
2023-05-15,0.9144774841340634
2023-05-16,0.9144774841340634
2023-05-17,0.9144774841340634
2023-05-18,0.9144774841340634
2023-05-19,0.9144774841340634
2023-05-22,0.9144774841340634
2023-05-23,0.9144774841340634
2023-05-24,0.9144774841340634
2023-05-25,0.9144774841340634
2023-05-26,0.9144774841340634
2023-05-30,0.9144774841340634
2023-05-31,0.9144774841340634
2023-06-01,0.9144774841340634
2023-06-02,0.9144774841340634
2023-06-05,0.9144774841340634
2023-06-06,0.9144774841340634
2023-06-07,0.9144774841340634
2023-06-08,0.9144774841340634
2023-06-09,0.9144774841340634
2023-06-12,0.9140202453919964
2023-06-13,0.918332237368435
2023-06-14,0.9089139091559766
2023-06-15,0.9188995448374911
2023-06-16,0.9175378931088534
2023-06-20,0.8970014954990662
2023-06-21,0.9040988135146527
2023-06-22,0.8919648635408388
2023-06-23,0.8855544408777054
2023-06-26,0.9014660782006314
2023-06-27,0.903526479750735
2023-06-28,0.9126842941521772
2023-06-29,0.9232156147512699
2023-06-30,0.9291680755675171
2023-07-03,0.9313432283776603
2023-07-05,0.9261919399951455
2023-07-06,0.9053578529595192
2023-07-07,0.9248182441259911
2023-07-10,0.9320300288943615
2023-07-11,0.952520431164381
2023-07-12,0.9613349401432246
2023-07-13,0.9576717195468956
2023-07-14,0.9323735239884641
2023-07-17,0.9305417714366714
2023-07-18,0.939928614179433
2023-07-19,0.945423113148794
2023-07-20,0.9565269571833084
2023-07-21,0.9649977813965454
2023-07-24,0.9805659236253691
2023-07-25,0.985717212007884
2023-07-26,0.9860605174304825
2023-07-27,0.9797647511916368
2023-07-28,0.9827408867640084
2023-07-31,1.0014000106609955
2023-08-01,0.9967065892896149
2023-08-02,0.9836568104577808
2023-08-03,0.9936158921287076
2023-08-04,0.9949894931621099
2023-08-07,0.9961342555256973
2023-08-08,1.0010563258953886
2023-08-09,1.013648522223345
2023-08-10,1.0135339606348093
2023-08-11,1.0291019131921286
2023-08-14,1.0247519869148507
2023-08-15,1.0034604122110988
2023-08-16,0.9947605596565428
2023-08-17,1.0066655761247896
2023-08-18,1.0166244681242125
2023-08-21,1.0102143299683353
2023-08-22,1.0024301166002954
2023-08-23,0.999911848039058
2023-08-24,0.9930435583647901
2023-08-25,1.0026590501058623
2023-08-28,1.0094129678630988
2023-08-29,1.0121601699299032
2023-08-30,1.0171969915596346
2023-08-31,1.0178837920763357
2023-09-01,1.0387177842762099
2023-09-05,1.0442124729170754
2023-09-06,1.0446704347639615
2023-09-07,1.0436400443174056
2023-09-08,1.053713497905364
2023-09-11,1.039862356968293
2023-09-12,1.0643595697644963
2023-09-13,1.0563464228908894
2023-09-14,1.068709401206022
2023-09-15,1.0532556308942298
2023-09-18,1.0621811925387816
2023-09-19,1.0522640282702826
2023-09-20,1.0424619946048315
2023-09-21,1.0281628495748447
2023-09-22,1.0298925588573786
2023-09-25,1.0428079554284886
2023-09-26,1.0368114908232673
2023-09-27,1.0626425684727432
2023-09-28,1.0637955815467632
2023-09-29,1.042346864001783
2023-10-02,1.0215896887611091
