Date,strategy_returns
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-20,1.0
2023-03-21,1.0
2023-03-22,1.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,1.0
2023-03-30,1.0
2023-03-31,1.0
2023-04-03,1.0
2023-04-04,1.0
2023-04-05,1.0
2023-04-06,0.9995
2023-04-10,0.9989996599936711
2023-04-11,1.0025022326616526
2023-04-12,1.0057546834823896
2023-04-13,1.0095074743094554
2023-04-14,1.0047540034697318
2023-04-17,1.0012513344899105
2023-04-18,0.9992497818409157
2023-04-19,0.9959973310201788
2023-04-20,0.997248229191921
2023-04-21,0.997748761821929
2023-04-24,1.0055044653233052
2023-04-25,1.0010011163308263
2023-04-26,1.007255799813216
2023-04-27,1.0195150449307502
2023-04-28,1.0287718647629527
2023-05-01,1.0287718647629527
2023-05-02,1.027270844743966
2023-05-03,1.0237680794523056
2023-05-04,1.032274533742774
2023-05-05,1.0357772027225949
2023-05-08,1.0390296535433319
2023-05-09,1.037528633524345
2023-05-10,1.0435330025358107
2023-05-11,1.0372782227415818
2023-05-12,1.0337757463854396
2023-05-15,1.0422821043640687
2023-05-16,1.0330251882200268
2023-05-17,1.0315240718892005
2023-05-18,1.0240183939232295
2023-05-19,1.0227674957514872
2023-05-22,1.0322745337427741
2023-05-23,1.0290221792338767
2023-05-24,1.0305231992528634
2023-05-25,1.03602732456984
2023-05-26,1.051288898660866
2023-05-30,1.0460349915029739
2023-05-31,1.0432827843767265
2023-06-01,1.0540409131634343
2023-06-02,1.0577937039905
2023-06-05,1.0547914713288475
2023-06-06,1.0572932676723317
2023-06-07,1.0610533781992013
2023-06-08,1.0585466699519017
2023-06-09,1.055538754891717
2023-06-12,1.0597999759196315
2023-06-13,1.0688238174120248
2023-06-14,1.0723330355969338
2023-06-15,1.0780982623108604
2023-06-16,1.0811062736828843
2023-06-20,1.0780982623108601
2023-06-21,1.079852967715154
2023-06-22,1.07684495634313
2023-06-23,1.0673199080378521
2023-06-26,1.0720824321904912
2023-06-27,1.0783489620291422
2023-06-28,1.0866208006785294
2023-06-29,1.0863701972720872
2023-06-30,1.0953940387644803
2023-07-03,1.0976500472934985
2023-07-05,1.0971486478569348
2023-07-06,1.0923861237042958
2023-07-07,1.0928873305171805
2023-07-10,1.0943913362031925
2023-07-11,1.102161968039695
2023-07-12,1.1094311041277942
2023-07-13,1.1071750955987762
2023-07-14,1.1094311041277944
2023-07-17,1.116951036246015
2023-07-18,1.1161989370911696
2023-07-19,1.1192069484631937
2023-07-20,1.1167003365277333
2023-07-21,1.1119377160632549
2023-07-24,1.1161989370911696
2023-07-25,1.1156976339664453
2023-07-26,1.1199589513061996
2023-07-27,1.1086791012847885
2023-07-28,1.115447030560003
2023-07-31,1.1219641638050966
2023-08-01,1.1149456311234396
2023-08-02,1.0956446421709232
2023-08-03,1.092887330517181
2023-08-04,1.1036658774138681
2023-08-07,1.107676398723501
2023-08-08,1.1011592654784075
2023-08-09,1.1014098688848502
2023-08-10,1.0991045548579532
2023-08-11,1.0991045548579532
2023-08-14,1.0991045548579532
2023-08-15,1.0991045548579532
2023-08-16,1.0991045548579532
2023-08-17,1.0991045548579532
2023-08-18,1.0991045548579532
2023-08-21,1.0991045548579532
2023-08-22,1.0991045548579532
2023-08-23,1.0991045548579532
2023-08-24,1.0991045548579532
2023-08-25,1.0991045548579532
2023-08-28,1.0991045548579532
2023-08-29,1.0991045548579532
2023-08-30,1.0991045548579532
2023-08-31,1.0991045548579532
2023-09-01,1.0991045548579532
2023-09-05,1.0985550025805244
2023-09-06,1.0940963797540408
2023-09-07,1.1035091019676133
2023-09-08,1.1151510880073585
2023-09-11,1.126049859206196
2023-09-12,1.1161418507802938
2023-09-13,1.117380351833532
2023-09-14,1.1208481167129425
2023-09-15,1.1176279949396966
2023-09-18,1.1188664959929344
2023-09-19,1.1146556114467536
2023-09-20,1.1116832279538107
2023-09-21,1.101032099861138
2023-09-22,1.1017751243537708
2023-09-25,1.1054907226876218
2023-09-26,1.0978119780878925
2023-09-27,1.104499864740549
2023-09-28,1.0960780004740496
2023-09-29,1.095334975981417
2023-10-02,1.0950872377011145
