Date,KSA
2023-01-03,35.21717071533203
2023-01-04,35.01572036743164
2023-01-05,34.74101638793945
2023-01-06,35.20801544189453
2023-01-09,35.36368179321289
2023-01-10,35.29957962036133
2023-01-11,35.180545806884766
2023-01-12,35.922245025634766
2023-01-13,35.99549865722656
2023-01-17,35.537662506103516
2023-01-18,35.17138671875
2023-01-19,35.528499603271484
2023-01-20,35.71163558959961
2023-01-23,35.77574157714844
2023-01-24,35.81236267089844
2023-01-25,35.9405632019043
2023-01-26,36.01381301879883
2023-01-27,36.03213119506836
2023-01-30,35.66585922241211
2023-01-31,35.903934478759766
2023-02-01,35.71163558959961
2023-02-02,35.54681396484375
2023-02-03,35.29957962036133
2023-02-06,34.805110931396484
2023-02-07,34.4388427734375
2023-02-08,34.457157135009766
2023-02-09,34.054256439208984
2023-02-10,34.17329406738281
2023-02-13,34.79595947265625
2023-02-14,34.457157135009766
2023-02-15,34.98825454711914
2023-02-16,34.832584381103516
2023-02-17,34.75017166137695
2023-02-21,33.75208282470703
2023-02-22,33.61472702026367
2023-02-23,33.477378845214844
2023-02-24,33.385807037353516
2023-02-27,33.0653190612793
2023-02-28,33.22098159790039
2023-03-01,33.67881774902344
2023-03-02,34.03593826293945
2023-03-03,34.19160461425781
2023-03-06,34.603668212890625
2023-03-07,34.24654769897461
2023-03-08,34.333534240722656
2023-03-09,34.292335510253906
2023-03-10,34.24654769897461
2023-03-13,33.7887077331543
2023-03-14,33.62388229370117
2023-03-15,33.0286865234375
2023-03-16,33.166038513183594
2023-03-17,32.992061614990234
2023-03-20,33.926055908203125
2023-03-21,34.35643005371094
2023-03-22,34.18245315551758
2023-03-23,34.640289306640625
2023-03-24,34.658607482910156
2023-03-27,34.86005401611328
2023-03-28,34.84174346923828
2023-03-29,34.79595947265625
2023-03-30,35.400306701660156
2023-03-31,35.46440124511719
2023-04-03,36.26104736328125
2023-04-04,36.828773498535156
2023-04-05,36.5449104309082
2023-04-06,36.64563751220703
2023-04-10,36.453346252441406
2023-04-11,36.35262680053711
2023-04-12,36.572383880615234
2023-04-13,36.87456130981445
2023-04-14,36.67310333251953
2023-04-17,37.12179183959961
2023-04-18,37.15842056274414
2023-04-19,37.15842056274414
2023-04-20,36.929500579833984
2023-04-21,36.947811126708984
2023-04-24,37.03022384643555
2023-04-25,37.16757583618164
2023-04-26,37.259151458740234
2023-04-27,37.552162170410156
2023-04-28,37.698665618896484
2023-05-01,37.524696350097656
2023-05-02,37.03938293457031
2023-05-03,36.728050231933594
2023-05-04,36.96612548828125
2023-05-05,37.51553726196289
2023-05-08,37.469749450683594
2023-05-09,37.497222900390625
2023-05-10,37.42396545410156
2023-05-11,37.56132125854492
2023-05-12,37.460594177246094
2023-05-15,37.56132125854492
2023-05-16,37.497222900390625
2023-05-17,37.845184326171875
2023-05-18,38.01000213623047
2023-05-19,37.88180923461914
2023-05-22,37.9550666809082
2023-05-23,37.442283630371094
2023-05-24,37.37818145751953
2023-05-25,37.09432601928711
2023-05-26,37.37818145751953
2023-05-30,36.96612548828125
2023-05-31,36.618167877197266
2023-06-01,37.09432601928711
2023-06-02,37.62541961669922
2023-06-05,37.77192687988281
2023-06-06,37.890960693359375
2023-06-07,38.14949035644531
2023-06-08,38.214359283447266
2023-06-09,38.26995849609375
2023-06-12,38.223628997802734
2023-06-13,38.25142288208008
2023-06-14,38.733272552490234
2023-06-15,38.75180435180664
2023-06-16,38.84446716308594
2023-06-20,38.168025970458984
2023-06-21,38.18655776977539
2023-06-22,37.88077163696289
2023-06-23,37.76031494140625
2023-06-26,37.88077163696289
2023-06-27,38.10316467285156
2023-06-28,38.1124382019043
2023-06-29,38.1124382019043
2023-06-30,38.297760009765625
2023-07-03,38.288490295410156
2023-07-05,38.61281204223633
2023-07-06,38.25142288208008
2023-07-07,38.43674850463867
2023-07-10,38.64061737060547
2023-07-11,38.992733001708984
2023-07-12,39.548709869384766
2023-07-13,39.49311447143555
2023-07-14,39.289249420166016
2023-07-17,39.3448486328125
2023-07-18,39.23365783691406
2023-07-19,39.1317253112793
2023-07-20,39.15952682495117
2023-07-21,39.04833221435547
2023-07-24,39.585777282714844
2023-07-25,39.72477722167969
2023-07-26,39.90083312988281
2023-07-27,39.326316833496094
2023-07-28,39.53017807006836
2023-07-31,38.983463287353516
2023-08-01,38.53868103027344
2023-08-02,37.834442138671875
2023-08-03,37.76031494140625
2023-08-04,37.806644439697266
2023-08-07,37.30625915527344
2023-08-08,37.23213195800781
2023-08-09,37.241390228271484
2023-08-10,37.621315002441406
2023-08-11,37.61204528808594
2023-08-14,37.954898834228516
2023-08-15,37.5101203918457
2023-08-16,37.371124267578125
2023-08-17,37.57498550415039
2023-08-18,37.630577087402344
2023-08-21,37.676910400390625
2023-08-22,37.38039016723633
2023-08-23,37.5101203918457
2023-08-24,37.38965606689453
2023-08-25,37.519386291503906
2023-08-28,37.834442138671875
2023-08-29,37.93636703491211
2023-08-30,38.23289108276367
2023-08-31,37.89929962158203
2023-09-01,37.954898834228516
2023-09-05,37.686180114746094
2023-09-06,37.278465270996094
2023-09-07,37.04679870605469
2023-09-08,37.06533432006836
2023-09-11,37.31552505493164
2023-09-12,37.02827072143555
2023-09-13,36.72248458862305
2023-09-14,36.81514358520508
2023-09-15,36.76881408691406
2023-09-18,36.36109924316406
2023-09-19,36.40742492675781
2023-09-20,36.2776985168457
2023-09-21,35.91630935668945
2023-09-22,35.96263885498047
2023-09-25,35.888511657714844
2023-09-26,35.795841217041016
2023-09-27,36.21282958984375
2023-09-28,36.05530548095703
2023-09-29,35.89777755737305
2023-10-02,35.97190475463867
2023-10-03,35.81438064575195
2023-10-04,35.20280075073242
2023-10-05,35.30472946166992
2023-10-06,35.582725524902344
