Date,XLE
2023-01-03,38.125160217285156
2023-01-04,38.12063980102539
2023-01-05,38.81629180908203
2023-01-06,39.552581787109375
2023-01-09,39.41256332397461
2023-01-10,39.692623138427734
2023-01-11,39.81459426879883
2023-01-12,40.5734748840332
2023-01-13,40.6322021484375
2023-01-17,40.71803283691406
2023-01-18,39.97269058227539
2023-01-19,40.46958923339844
2023-01-20,40.871620178222656
2023-01-23,40.925819396972656
2023-01-24,40.76772689819336
2023-01-25,40.77224349975586
2023-01-26,42.05963897705078
2023-01-27,41.21040725708008
2023-01-30,40.26630401611328
2023-01-31,40.623172760009766
2023-02-01,39.82362365722656
2023-02-02,38.915672302246094
2023-02-03,38.82984161376953
2023-02-06,38.65367126464844
2023-02-07,39.909446716308594
2023-02-08,39.552581787109375
2023-02-09,39.213802337646484
2023-02-10,40.74964904785156
2023-02-13,40.64575958251953
2023-02-14,40.659305572509766
2023-02-15,39.96817398071289
2023-02-16,39.57518005371094
2023-02-17,38.16581344604492
2023-02-21,37.9760856628418
2023-02-22,37.7231330871582
2023-02-23,38.29228973388672
2023-02-24,38.24259948730469
2023-02-27,38.35553741455078
2023-02-28,37.804439544677734
2023-03-01,38.54977035522461
2023-03-02,38.8885612487793
2023-03-03,39.41707229614258
2023-03-06,39.43514633178711
2023-03-07,38.7485237121582
2023-03-08,38.35102462768555
2023-03-09,37.8089485168457
2023-03-10,37.32561492919922
2023-03-13,36.56671905517578
2023-03-14,36.9281005859375
2023-03-15,34.94505310058594
2023-03-16,35.324493408203125
2023-03-17,34.76888656616211
2023-03-20,35.464942932128906
2023-03-21,36.692752838134766
2023-03-22,35.91225051879883
2023-03-23,35.41473388671875
2023-03-24,35.551666259765625
2023-03-27,36.30934524536133
2023-03-28,36.87076187133789
2023-03-29,37.38196563720703
2023-03-30,37.54628372192383
2023-03-31,37.80644989013672
2023-04-03,39.5180778503418
2023-04-04,38.801483154296875
2023-04-05,39.38571548461914
2023-04-06,38.78778076171875
2023-04-10,39.09815979003906
2023-04-11,39.467872619628906
2023-04-12,39.49525833129883
2023-04-13,39.74173355102539
2023-04-14,39.814762115478516
2023-04-17,39.34463119506836
2023-04-18,39.49981689453125
2023-04-19,39.362884521484375
2023-04-20,39.0160026550293
2023-04-21,38.78778076171875
2023-04-24,39.38114547729492
2023-04-25,38.641719818115234
2023-04-26,38.125953674316406
2023-04-27,38.26288604736328
2023-04-28,38.85624694824219
2023-05-01,38.41807556152344
2023-05-02,36.747528076171875
2023-05-03,36.053741455078125
2023-05-04,35.652076721191406
2023-05-05,36.61972427368164
2023-05-08,36.61972427368164
2023-05-09,36.6334114074707
2023-05-10,36.21805953979492
2023-05-11,35.784446716308594
2023-05-12,35.83921813964844
2023-05-15,36.021793365478516
2023-05-16,35.13630676269531
2023-05-17,35.81182861328125
2023-05-18,36.07200241088867
2023-05-19,36.35042190551758
2023-05-22,36.19980239868164
2023-05-23,36.5877685546875
2023-05-24,36.747528076171875
2023-05-25,36.094825744628906
2023-05-26,35.95331954956055
2023-05-30,35.5836181640625
2023-05-31,34.95829772949219
2023-06-01,35.39191818237305
2023-06-02,36.46909713745117
2023-06-05,36.22718811035156
2023-06-06,36.51930618286133
2023-06-07,37.48694610595703
2023-06-08,37.32719039916992
2023-06-09,37.12179946899414
2023-06-12,36.76578140258789
2023-06-13,36.93922805786133
2023-06-14,36.56038284301758
2023-06-15,36.9620475769043
2023-06-16,36.90727615356445
2023-06-20,36.081214904785156
2023-06-21,36.36669921875
2023-06-22,35.87862014770508
2023-06-23,35.620765686035156
2023-06-26,36.260799407958984
2023-06-27,36.34367752075195
2023-06-28,36.71204376220703
2023-06-29,37.135658264160156
2023-06-30,37.375091552734375
2023-07-03,37.46258544921875
2023-07-05,37.25537872314453
2023-07-06,36.41734313964844
2023-07-07,37.20012283325195
2023-07-10,37.490211486816406
2023-07-11,38.314422607421875
2023-07-12,38.66897964477539
2023-07-13,38.521629333496094
2023-07-14,37.5040283203125
2023-07-17,37.43034744262695
2023-07-18,37.807926177978516
2023-07-19,38.02893829345703
2023-07-20,38.475582122802734
2023-07-21,38.816314697265625
2023-07-24,39.44253158569336
2023-07-25,39.64973831176758
2023-07-26,39.66354751586914
2023-07-27,39.41030502319336
2023-07-28,39.5300178527832
2023-07-31,40.28056716918945
2023-08-01,40.09177780151367
2023-08-02,39.56686019897461
2023-08-03,39.96745681762695
2023-08-04,40.022708892822266
2023-08-07,40.068756103515625
2023-08-08,40.26674270629883
2023-08-09,40.77325439453125
2023-08-10,40.768646240234375
2023-08-11,41.39485549926758
2023-08-14,41.21988296508789
2023-08-15,40.36344528198242
2023-08-16,40.01350021362305
2023-08-17,40.49237060546875
2023-08-18,40.89295959472656
2023-08-21,40.63511657714844
2023-08-22,40.32200241088867
2023-08-23,40.220706939697266
2023-08-24,39.944435119628906
2023-08-25,40.33121109008789
2023-08-28,40.602882385253906
2023-08-29,40.71338653564453
2023-08-30,40.91598892211914
2023-08-31,40.9436149597168
2023-09-01,41.781646728515625
2023-09-05,42.00266647338867
2023-09-06,42.021087646484375
2023-09-07,41.97964096069336
2023-09-08,42.38483810424805
2023-09-11,41.82768630981445
2023-09-12,42.81306838989258
2023-09-13,42.490745544433594
2023-09-14,42.988037109375
2023-09-15,42.36642074584961
2023-09-18,42.72544479370117
2023-09-19,42.326534271240234
2023-09-20,41.932254791259766
2023-09-21,41.35708236694336
2023-09-22,41.426658630371094
2023-09-25,41.946170806884766
2023-09-26,41.7049674987793
2023-09-27,42.74400329589844
2023-09-28,42.790382385253906
2023-09-29,41.9276237487793
2023-10-02,41.092681884765625
2023-10-03,41.06485366821289
2023-10-04,39.77534103393555
2023-10-05,39.52949905395508
2023-10-06,39.76606369018555
2023-10-09,41.092681884765625
2023-10-10,41.14371109008789
2023-10-11,40.61491775512695
2023-10-12,40.66130065917969
2023-10-13,41.55653381347656
2023-10-16,41.8348503112793
2023-10-17,42.2708625793457
2023-10-18,42.6558723449707
2023-10-19,42.5816535949707
2023-10-20,41.86731719970703
2023-10-23,41.19009780883789
2023-10-24,40.610286712646484
2023-10-25,40.53605651855469
2023-10-26,40.220645904541016
2023-10-27,39.255828857421875
2023-10-30,39.38571548461914
2023-10-31,39.51557922363281
2023-11-01,39.42280960083008
2023-11-02,40.61491775512695
2023-11-03,40.206729888916016
2023-11-06,39.75214767456055
2023-11-07,38.87083435058594
2023-11-08,38.383785247802734
2023-11-09,38.26782989501953
2023-11-10,38.68992233276367
2023-11-13,38.968238830566406
2023-11-14,39.316123962402344
2023-11-15,39.241912841796875
2023-11-16,38.47655487060547
2023-11-17,39.28366470336914
2023-11-20,39.33932113647461
2023-11-21,39.251190185546875
2023-11-22,39.23263168334961
2023-11-24,39.394981384277344
2023-11-27,39.255828857421875
2023-11-28,39.265106201171875
2023-11-29,38.97287368774414
2023-11-30,39.23263168334961
2023-12-01,39.43672561645508
2023-12-04,39.255828857421875
2023-12-05,38.5693244934082
2023-12-06,37.9941520690918
2023-12-07,37.73439407348633
2023-12-08,38.14258575439453
2023-12-11,38.188968658447266
2023-12-12,37.66481018066406
2023-12-13,38.188968658447266
2023-12-14,39.31148910522461
2023-12-15,39.10275650024414
2023-12-18,39.422142028808594
2023-12-19,39.89512634277344
2023-12-20,39.52517318725586
2023-12-21,39.679710388183594
2023-12-22,39.79677963256836
2023-12-26,40.138648986816406
2023-12-27,39.960693359375
2023-12-28,39.35189437866211
2023-12-29,39.26291275024414
2024-01-02,39.68439483642578
2024-01-03,40.33065414428711
2024-01-04,39.62351608276367
2024-01-05,39.65629196166992
2024-01-08,39.197349548339844
2024-01-09,38.569820404052734
2024-01-10,38.19049835205078
2024-01-11,38.288841247558594
2024-01-12,38.71968078613281
2024-01-16,37.797115325927734
2024-01-17,37.48334503173828
2024-01-18,37.42247009277344
2024-01-19,37.544219970703125
2024-01-22,37.68471908569336
2024-01-23,37.76433181762695
2024-01-24,38.302886962890625
2024-01-25,39.16456985473633
2024-01-26,39.454925537109375
2024-01-29,39.39872360229492
2024-01-30,39.806156158447266
2024-01-31,39.06153869628906
2024-02-01,39.056861877441406
2024-02-02,39.11305618286133
2024-02-05,39.014713287353516
2024-02-06,39.14115905761719
2024-02-07,39.220767974853516
2024-02-08,39.62351608276367
2024-02-09,39.014713287353516
2024-02-12,39.445556640625
2024-02-13,39.047489166259766
2024-02-14,39.01003646850586
2024-02-15,40.09649658203125
2024-02-16,40.07309341430664
2024-02-20,39.70780563354492
2024-02-21,40.452423095703125
2024-02-22,40.52266311645508
2024-02-23,40.2557258605957
2024-02-26,40.39622497558594
2024-02-27,40.22294616699219
2024-02-28,40.143333435058594
2024-02-29,40.340023040771484
2024-03-01,40.80833435058594
2024-03-04,40.3728141784668
2024-03-05,40.67251968383789
2024-03-06,40.798973083496094
2024-03-07,41.145511627197266
2024-03-08,41.29069137573242
2024-03-11,41.71685028076172
2024-03-12,41.65128707885742
2024-03-13,42.3162841796875
2024-03-14,42.75181579589844
2024-03-15,42.87824630737305
2024-03-18,43.0264892578125
2024-03-19,43.5174674987793
2024-03-20,43.45609664916992
2024-03-21,43.71574020385742
2024-03-22,43.6213264465332
2024-03-25,44.027320861816406
2024-03-26,43.68741989135742
2024-03-27,44.09341812133789
2024-03-28,44.570228576660156
2024-04-01,44.90069580078125
2024-04-02,45.52857971191406
2024-04-03,45.84015655517578
2024-04-04,45.811832427978516
2024-04-05,46.30280685424805
2024-04-08,46.01011276245117
2024-04-09,46.0242805480957
2024-04-10,46.1659049987793
2024-04-11,46.13286209106445
2024-04-12,45.38222885131836
2024-04-15,44.95734786987305
2024-04-16,44.56550598144531
2024-04-17,44.438045501708984
2024-04-18,44.30113983154297
2024-04-19,44.8346061706543
2024-04-22,45.12730026245117
2024-04-23,45.37751007080078
2024-04-24,45.41054916381836
2024-04-25,45.61827087402344
2024-04-26,45.198116302490234
2024-04-29,45.504974365234375
2024-04-30,44.15006637573242
2024-05-01,43.446651458740234
2024-05-02,43.696861267089844
2024-05-03,43.70158386230469
2024-05-06,44.04621124267578
2024-05-07,44.003719329833984
2024-05-08,43.95178985595703
2024-05-09,44.541908264160156
2024-05-10,44.29642105102539
2024-05-13,44.17839431762695
2024-05-14,44.23504638671875
2024-05-15,44.334190368652344
2024-05-16,44.21144104003906
2024-05-17,44.82987976074219
2024-05-20,44.53718185424805
2024-05-21,44.32001876831055
2024-05-22,43.47025680541992
2024-05-23,43.073699951171875
2024-05-24,43.135074615478516
2024-05-28,43.57883834838867
2024-05-29,42.809322357177734
2024-05-30,42.93206787109375
2024-05-31,43.999000549316406
2024-06-03,42.84709548950195
2024-06-04,42.43637466430664
2024-06-05,42.43165588378906
2024-06-06,42.653533935546875
2024-06-07,42.48358154296875
2024-06-10,42.804603576660156
2024-06-11,42.71962356567383
2024-06-12,42.261695861816406
2024-06-13,41.87458419799805
2024-06-14,41.56300735473633
2024-06-17,41.67158126831055
2024-06-18,41.846256256103516
2024-06-20,42.61576461791992
2024-06-21,42.37028121948242
2024-06-24,43.438636779785156
2024-06-25,43.538570404052734
2024-06-26,43.11027908325195
2024-06-27,43.2102165222168
2024-06-28,43.37677001953125
2024-07-01,43.40056228637695
2024-07-02,43.36725616455078
2024-07-03,43.55760955810547
2024-07-05,42.87709426879883
2024-07-08,42.615360260009766
2024-07-09,42.23941421508789
2024-07-10,42.52494430541992
2024-07-11,42.9675178527832
2024-07-12,43.07696533203125
2024-07-15,43.72893142700195
2024-07-16,43.924041748046875
2024-07-17,44.36185836791992
2024-07-18,44.44275665283203
2024-07-19,43.95735549926758
2024-07-22,43.68134307861328
2024-07-23,42.98654556274414
2024-07-24,42.99130630493164
2024-07-25,43.73368453979492
2024-07-26,43.87169647216797
2024-07-29,43.49574661254883
2024-07-30,44.17150115966797
2024-07-31,44.357093811035156
2024-08-01,43.18165969848633
2024-08-02,42.06809616088867
2024-08-05,41.14012145996094
2024-08-06,41.39234161376953
2024-08-07,41.558902740478516
2024-08-08,42.45356369018555
