Date,SPY
2023-01-03,366.06903076171875
2023-01-04,368.89520263671875
2023-01-05,364.6848449707031
2023-01-06,373.0478515625
2023-01-09,372.83642578125
2023-01-10,375.4509582519531
2023-01-11,380.19964599609375
2023-01-12,381.5838928222656
2023-01-13,383.06427001953125
2023-01-17,382.3625183105469
2023-01-18,376.3257751464844
2023-01-19,373.5862121582031
2023-01-20,380.5456848144531
2023-01-23,385.11175537109375
2023-01-24,384.6983642578125
2023-01-25,384.8426208496094
2023-01-26,389.07220458984375
2023-01-27,389.9660949707031
2023-01-30,385.07330322265625
2023-01-31,390.7351989746094
2023-02-01,394.8877868652344
2023-02-02,400.6361389160156
2023-02-03,396.3778076171875
2023-02-06,393.95538330078125
2023-02-07,399.10772705078125
2023-02-08,394.7436218261719
2023-02-09,391.3215026855469
2023-02-10,392.23468017578125
2023-02-13,396.83917236328125
2023-02-14,396.6565246582031
2023-02-15,397.94464111328125
2023-02-16,392.4654541015625
2023-02-17,391.4849853515625
2023-02-21,383.6313781738281
2023-02-22,383.10272216796875
2023-02-23,385.1405944824219
2023-02-24,381.0263671875
2023-02-27,382.3240661621094
2023-02-28,380.9110107421875
2023-03-01,379.4498596191406
2023-03-02,382.40093994140625
2023-03-03,388.5338439941406
2023-03-06,388.802978515625
2023-03-07,382.8431396484375
2023-03-08,383.4679870605469
2023-03-09,376.3930969238281
2023-03-10,370.9618835449219
2023-03-13,370.4331970214844
2023-03-14,376.5564880371094
2023-03-15,374.2013854980469
2023-03-16,380.7668151855469
2023-03-17,376.3146057128906
2023-03-20,379.9331359863281
2023-03-21,384.9217529296875
2023-03-22,378.3602294921875
2023-03-23,379.3831481933594
2023-03-24,381.8726806640625
2023-03-27,382.5867004394531
2023-03-28,381.7278747558594
2023-03-29,387.2762756347656
2023-03-30,389.5438537597656
2023-03-31,395.0343322753906
2023-04-03,396.5396728515625
2023-04-04,394.3396301269531
2023-04-05,393.30712890625
2023-04-06,394.84136962890625
2023-04-10,395.24658203125
2023-04-11,395.3527526855469
2023-04-12,393.7413024902344
2023-04-13,398.97125244140625
2023-04-14,397.9966735839844
2023-04-17,399.4248352050781
2023-04-18,399.6853332519531
2023-04-19,399.6177673339844
2023-04-20,397.4370422363281
2023-04-21,397.7458190917969
2023-04-24,398.1607360839844
2023-04-25,391.8404541015625
2023-04-26,390.1806335449219
2023-04-27,397.94842529296875
2023-04-28,401.3450012207031
2023-05-01,400.939697265625
2023-05-02,396.43353271484375
2023-05-03,393.71234130859375
2023-05-04,390.9237365722656
2023-05-05,398.1607360839844
2023-05-08,398.266845703125
2023-05-09,396.5203552246094
2023-05-10,398.373046875
2023-05-11,397.6782531738281
2023-05-12,397.1572265625
2023-05-15,398.5273742675781
2023-05-16,395.8641662597656
2023-05-17,400.6695861816406
2023-05-18,404.529296875
2023-05-19,403.940673828125
2023-05-22,404.1047668457031
2023-05-23,399.56951904296875
2023-05-24,396.67462158203125
2023-05-25,400.10992431640625
2023-05-26,405.29156494140625
2023-05-30,405.4459228515625
2023-05-31,403.1977233886719
2023-06-01,407.02850341796875
2023-06-02,412.91461181640625
2023-06-05,412.12335205078125
2023-06-06,413.02069091796875
2023-06-07,411.5925598144531
2023-06-08,414.0821228027344
2023-06-09,414.82513427734375
2023-06-12,418.58831787109375
2023-06-13,421.34808349609375
2023-06-14,421.8498229980469
2023-06-15,427.0798034667969
2023-06-16,425.6250305175781
2023-06-20,423.4168395996094
2023-06-21,421.24737548828125
2023-06-22,422.7679443359375
2023-06-23,419.5718078613281
2023-06-26,417.85760498046875
2023-06-27,422.4386901855469
2023-06-28,422.6517333984375
2023-06-29,424.31756591796875
2023-06-30,429.3248291015625
2023-07-03,429.81878662109375
2023-07-05,429.1795654296875
2023-07-06,425.81878662109375
2023-07-07,424.74371337890625
2023-07-10,425.81878662109375
2023-07-11,428.5306091308594
2023-07-12,431.9785461425781
2023-07-13,435.4071350097656
2023-07-14,435.1359558105469
2023-07-17,436.64678955078125
2023-07-18,439.89141845703125
2023-07-19,440.8695373535156
2023-07-20,437.94464111328125
2023-07-21,437.94464111328125
2023-07-24,439.90106201171875
2023-07-25,441.1020202636719
2023-07-26,441.1697998046875
2023-07-27,438.2448425292969
2023-07-28,442.535400390625
2023-07-31,443.37799072265625
2023-08-01,442.1092529296875
2023-08-02,435.9591979980469
2023-08-03,434.7097473144531
2023-08-04,432.7436218261719
2023-08-07,436.5209045410156
2023-08-08,434.6226501464844
2023-08-09,431.717041015625
2023-08-10,431.8720397949219
2023-08-11,431.6202087402344
2023-08-14,434.0027770996094
2023-08-15,428.9471130371094
2023-08-16,425.7994079589844
2023-08-17,422.554931640625
2023-08-18,422.7582702636719
2023-08-21,425.5088806152344
2023-08-22,424.3563232421875
2023-08-23,429.082763671875
2023-08-24,423.1360168457031
2023-08-25,426.1190490722656
2023-08-28,428.8212585449219
2023-08-29,435.0197448730469
2023-08-30,436.8115234375
2023-08-31,436.1722717285156
2023-09-01,436.9858093261719
2023-09-05,435.0971984863281
2023-09-06,432.1722717285156
2023-09-07,430.845458984375
2023-09-08,431.4942932128906
2023-09-11,434.3320617675781
2023-09-12,431.94952392578125
2023-09-13,432.453125
2023-09-14,436.18194580078125
2023-09-15,430.9266662597656
2023-09-18,431.1793518066406
2023-09-19,430.2851867675781
2023-09-20,426.3294372558594
2023-09-21,419.28289794921875
2023-09-22,418.34014892578125
2023-09-25,420.0993347167969
2023-09-26,413.9275207519531
2023-09-27,414.0927429199219
2023-09-28,416.493408203125
2023-09-29,415.48260498046875
2023-10-02,415.3173828125
2023-10-03,409.7579345703125
2023-10-04,412.7418212890625
2023-10-05,412.58624267578125
2023-10-06,417.48480224609375
2023-10-09,420.1576232910156
2023-10-10,422.3445129394531
2023-10-11,424.07452392578125
2023-10-12,421.4892272949219
2023-10-13,419.3897705078125
2023-10-16,423.8023986816406
2023-10-17,423.7829895019531
2023-10-18,418.135986328125
2023-10-19,414.4621276855469
2023-10-20,409.369140625
2023-10-23,408.6596374511719
2023-10-24,411.74072265625
2023-10-25,405.831298828125
2023-10-26,400.9716491699219
2023-10-27,399.1541442871094
2023-10-30,403.92633056640625
2023-10-31,406.463134765625
2023-11-01,410.79791259765625
2023-11-02,418.67059326171875
2023-11-03,422.49029541015625
2023-11-06,423.4622497558594
2023-11-07,424.6674499511719
2023-11-08,424.97845458984375
2023-11-09,421.6641540527344
2023-11-10,428.2441101074219
2023-11-13,427.8359069824219
2023-11-14,436.13629150390625
2023-11-15,437.0595703125
2023-11-16,437.5941467285156
2023-11-17,438.138427734375
2023-11-20,441.5110778808594
2023-11-21,440.5487976074219
2023-11-22,442.24969482421875
2023-11-24,442.5218200683594
2023-11-27,441.7248840332031
2023-11-28,442.1622009277344
2023-11-29,441.8511962890625
2023-11-30,443.59100341796875
2023-12-01,446.2151794433594
2023-12-04,443.872802734375
2023-12-05,443.785400390625
2023-12-06,441.9970397949219
2023-12-07,445.3696594238281
2023-12-08,447.28436279296875
2023-12-11,449.0240783691406
2023-12-12,451.0748291015625
2023-12-13,457.2952880859375
2023-12-14,458.7629089355469
2023-12-15,458.0075378417969
2023-12-18,460.5838623046875
2023-12-19,463.38458251953125
2023-12-20,456.9633483886719
2023-12-21,461.2962646484375
2023-12-22,462.2233581542969
2023-12-26,464.17510986328125
2023-12-27,465.0143127441406
2023-12-28,465.18994140625
2023-12-29,463.84326171875
2024-01-02,461.2474670410156
2024-01-03,457.4805603027344
2024-01-04,456.0069885253906
2024-01-05,456.6315612792969
2024-01-08,463.1504211425781
2024-01-09,462.44781494140625
2024-01-10,465.06317138671875
2024-01-11,464.8581848144531
2024-01-12,465.1802062988281
2024-01-16,463.472412109375
2024-01-17,460.8961181640625
2024-01-18,464.9947814941406
2024-01-19,470.7915344238281
2024-01-22,471.7869567871094
2024-01-23,473.1628723144531
2024-01-24,473.6800842285156
2024-01-25,476.25640869140625
2024-01-26,475.6513366699219
2024-01-29,479.4182434082031
2024-01-30,479.0474853515625
2024-01-31,471.23065185546875
2024-02-01,477.3981628417969
2024-02-02,482.4239807128906
2024-02-05,480.6673889160156
2024-02-06,482.0628662109375
2024-02-07,486.0834655761719
2024-02-08,486.2982177734375
2024-02-09,489.10870361328125
2024-02-12,488.89398193359375
2024-02-13,482.1604309082031
2024-02-14,486.54217529296875
2024-02-15,489.8991394042969
2024-02-16,487.45947265625
2024-02-20,484.7757873535156
2024-02-21,485.2149353027344
2024-02-22,495.2567138671875
2024-02-23,495.5982971191406
2024-02-26,493.7831115722656
2024-02-27,494.7004699707031
2024-02-28,494.046630859375
2024-02-29,495.82269287109375
2024-03-01,500.4776306152344
2024-03-04,499.94091796875
2024-03-05,494.94439697265625
2024-03-06,497.45245361328125
2024-03-07,502.3903503417969
2024-03-08,499.3748779296875
2024-03-11,498.9455261230469
2024-03-12,504.3128356933594
2024-03-13,503.5223388671875
2024-03-14,502.5270690917969
2024-03-15,499.0763244628906
2024-03-18,502.04241943359375
2024-03-19,504.83233642578125
2024-03-20,509.50164794921875
2024-03-21,511.18536376953125
2024-03-22,510.21636962890625
2024-03-25,508.80670166015625
2024-03-26,507.8669128417969
2024-03-27,512.135009765625
2024-03-28,512.037109375
2024-04-01,511.14630126953125
2024-04-02,507.8963623046875
2024-04-03,508.4541931152344
2024-04-04,502.24798583984375
2024-04-05,507.494873046875
2024-04-08,507.7787780761719
2024-04-09,508.3661804199219
2024-04-10,503.27587890625
2024-04-11,507.0740051269531
2024-04-12,500.0748596191406
2024-04-15,493.8098449707031
2024-04-16,492.9092102050781
2024-04-17,489.9920959472656
2024-04-18,488.98382568359375
2024-04-19,484.7158203125
2024-04-22,489.1795959472656
2024-04-23,494.9844665527344
2024-04-24,494.74957275390625
2024-04-25,492.87005615234375
2024-04-26,497.5394592285156
2024-04-29,499.30145263671875
2024-04-30,491.3919372558594
2024-05-01,489.7962951660156
2024-05-02,494.3775634765625
2024-05-03,500.50555419921875
2024-05-06,505.6741027832031
2024-05-07,506.232177734375
2024-05-08,506.28106689453125
2024-05-09,509.1982116699219
2024-05-10,509.8541564941406
2024-05-13,509.9226379394531
2024-05-14,512.26220703125
2024-05-15,518.6055908203125
2024-05-16,517.5385131835938
2024-05-17,518.2825317382812
2024-05-20,518.8795776367188
2024-05-21,520.1522827148438
2024-05-22,518.6544799804688
2024-05-23,514.8661499023438
2024-05-24,518.272705078125
2024-05-28,518.6348266601562
2024-05-29,515.0031127929688
2024-05-30,511.5867614746094
2024-05-31,516.2464599609375
2024-06-03,516.6673583984375
2024-06-04,517.244873046875
2024-06-05,523.392333984375
2024-06-06,523.382568359375
2024-06-07,522.746337890625
2024-06-10,524.3615112304688
2024-06-11,525.624267578125
2024-06-12,529.9412841796875
2024-06-13,531.00830078125
2024-06-14,531.3314819335938
2024-06-17,535.5602416992188
2024-06-18,536.9209594726562
2024-06-20,535.4623413085938
2024-06-21,534.7444458007812
2024-06-24,533.0062255859375
2024-06-25,535.0587158203125
2024-06-26,535.7265014648438
2024-06-27,536.571044921875
2024-06-28,534.4595947265625
2024-07-01,535.5595703125
2024-07-02,539.1636962890625
2024-07-03,541.5698852539062
2024-07-05,544.6928100585938
2024-07-08,545.3213500976562
2024-07-09,545.8516845703125
2024-07-10,551.2529296875
2024-07-11,546.4996948242188
2024-07-12,549.94677734375
2024-07-15,551.459228515625
2024-07-16,554.7294311523438
2024-07-17,546.9514770507812
2024-07-18,542.7482299804688
2024-07-19,539.14404296875
2024-07-22,544.70263671875
2024-07-23,543.8482055664062
2024-07-24,531.5232543945312
2024-07-25,528.7538452148438
2024-07-26,534.6757202148438
2024-07-29,534.9899291992188
2024-07-30,532.2794799804688
2024-07-31,540.9314575195312
2024-08-01,533.2713012695312
2024-08-02,523.3426513671875
2024-08-05,508.10101318359375
2024-08-06,512.7854614257812
2024-08-07,509.3580322265625
2024-08-08,521.1329956054688
2024-08-09,523.4310302734375
2024-08-12,523.7060546875
2024-08-13,532.3187255859375
2024-08-14,533.998046875
2024-08-15,543.1510009765625
2024-08-16,544.36865234375
2024-08-19,549.5736083984375
2024-08-20,548.6800537109375
2024-08-21,550.5654907226562
2024-08-22,546.244384765625
2024-08-23,552.0484619140625
2024-08-26,550.732421875
2024-08-27,551.4887084960938
2024-08-28,548.287109375
2024-08-29,548.336181640625
2024-08-30,553.5706787109375
2024-09-03,542.1786499023438
2024-09-04,541.0689697265625
2024-09-05,539.7529296875
2024-09-06,530.6688842773438
2024-09-09,536.6102905273438
2024-09-10,538.9476318359375
2024-09-11,544.4766845703125
2024-09-12,549.0630493164062
2024-09-13,551.9306030273438
2024-09-16,552.7457885742188
2024-09-17,552.9715576171875
2024-09-18,551.33154296875
2024-09-19,560.73974609375
2024-09-20,559.7703857421875
2024-09-23,561.169189453125
2024-09-24,562.7748413085938
2024-09-25,561.53369140625
2024-09-26,563.7599487304688
2024-09-27,562.9423217773438
2024-09-30,565.1981811523438
2024-10-01,560.1348876953125
2024-10-02,560.3712768554688
2024-10-03,559.3468017578125
2024-10-04,564.4298095703125
2024-10-07,559.3270874023438
2024-10-08,564.616943359375
2024-10-09,568.5277709960938
2024-10-10,567.5327758789062
2024-10-11,570.9313354492188
2024-10-14,575.6005859375
2024-10-15,571.12841796875
2024-10-16,573.6107788085938
2024-10-17,573.6599731445312
2024-10-18,575.8665161132812
2024-10-21,574.9208984375
2024-10-22,574.6155395507812
2024-10-23,569.364990234375
2024-10-24,570.596435546875
2024-10-25,570.3993530273438
2024-10-28,572.1627197265625
2024-10-29,573.0887451171875
2024-10-30,571.35498046875
2024-10-31,560.1546020507812
2024-11-01,562.5187377929688
2024-11-04,561.3070678710938
2024-11-05,568.0942993164062
2024-11-06,582.2203369140625
2024-11-07,586.7221069335938
2024-11-08,589.2636108398438
2024-11-11,589.8251342773438
2024-11-12,587.9928588867188
2024-11-13,588.278564453125
2024-11-14,584.495849609375
2024-11-15,577.0092163085938
2024-11-18,579.3734741210938
2024-11-19,581.4913330078125
2024-11-20,581.6883544921875
2024-11-21,584.8109741210938
2024-11-22,586.6235961914062
2024-11-25,588.613525390625
2024-11-26,591.6869506835938
2024-11-27,589.89404296875
