Date,XLF
2023-01-03,32.703880310058594
2023-01-04,33.227989196777344
2023-01-05,32.980228424072266
2023-01-06,33.7139778137207
2023-01-09,33.59009552001953
2023-01-10,33.780677795410156
2023-01-11,34.09513854980469
2023-01-12,34.16183853149414
2023-01-13,34.419132232666016
2023-01-17,34.1904296875
2023-01-18,33.551979064941406
2023-01-19,33.161285400390625
2023-01-20,33.68538284301758
2023-01-23,34.07607650756836
2023-01-24,34.09513854980469
2023-01-25,34.36195373535156
2023-01-26,34.54300308227539
2023-01-27,34.54300308227539
2023-01-30,34.37148666381836
2023-01-31,34.83841323852539
2023-02-01,34.83841323852539
2023-02-02,34.9337043762207
2023-02-03,34.86699295043945
2023-02-06,34.85746765136719
2023-02-07,35.2576904296875
2023-02-08,35.04804229736328
2023-02-09,34.65735626220703
2023-02-10,34.77170181274414
2023-02-13,35.17192840576172
2023-02-14,34.98134231567383
2023-02-15,35.01945877075195
2023-02-16,34.6668815612793
2023-02-17,34.676414489746094
2023-02-21,33.961727142333984
2023-02-22,33.92361068725586
2023-02-23,33.95220947265625
2023-02-24,33.98078536987305
2023-02-27,33.97125244140625
2023-02-28,34.037967681884766
2023-03-01,33.92361068725586
2023-03-02,33.761619567871094
2023-03-03,34.29525375366211
2023-03-06,34.32383346557617
2023-03-07,33.4376335144043
2023-03-08,33.313751220703125
2023-03-09,31.96061897277832
2023-03-10,31.37934112548828
2023-03-13,30.14055633544922
2023-03-14,30.75042152404785
2023-03-15,29.930919647216797
2023-03-16,30.50266456604004
2023-03-17,29.521167755126953
2023-03-20,29.84963607788086
2023-03-21,30.606170654296875
2023-03-22,29.897520065307617
2023-03-23,29.6964168548584
2023-03-24,29.677265167236328
2023-03-27,30.089046478271484
2023-03-28,30.079469680786133
2023-03-29,30.519983291625977
2023-03-30,30.452951431274414
2023-03-31,30.78812599182129
2023-04-03,30.845582962036133
2023-04-04,30.55828857421875
2023-04-05,30.519983291625977
2023-04-06,30.63490104675293
2023-04-10,30.701936721801758
2023-04-11,30.970075607299805
2023-04-12,30.90304183959961
2023-04-13,31.18075942993164
2023-04-14,31.487201690673828
2023-04-17,31.851106643676758
2023-04-18,31.946868896484375
2023-04-19,32.02347183227539
2023-04-20,31.927719116210938
2023-04-21,31.812801361083984
2023-04-24,31.736188888549805
2023-04-25,31.190336227416992
2023-04-26,30.893463134765625
2023-04-27,31.391433715820312
2023-04-28,31.76491355895996
2023-05-01,31.67872428894043
2023-05-02,30.96050262451172
2023-05-03,30.606170654296875
2023-05-04,30.21354103088379
2023-05-05,30.96050262451172
2023-05-08,31.008380889892578
2023-05-09,30.893463134765625
2023-05-10,30.72109031677246
2023-05-11,30.673206329345703
2023-05-12,30.54871368408203
2023-05-15,30.797698974609375
2023-05-16,30.510412216186523
2023-05-17,31.123302459716797
2023-05-18,31.353139877319336
2023-05-19,31.21906280517578
2023-05-22,31.27652359008789
2023-05-23,30.912616729736328
2023-05-24,30.510412216186523
2023-05-25,30.500831604003906
2023-05-26,30.749818801879883
2023-05-30,30.7402400970459
2023-05-31,30.414644241333008
2023-06-01,30.7402400970459
2023-06-02,31.41058921813965
2023-06-05,31.24778938293457
2023-06-06,31.640422821044922
2023-06-07,31.76491355895996
2023-06-08,31.736188888549805
2023-06-09,31.74576759338379
2023-06-12,31.736188888549805
2023-06-13,31.927719116210938
2023-06-14,31.803218841552734
2023-06-15,32.224586486816406
2023-06-16,32.157554626464844
2023-06-20,31.917068481445312
2023-06-21,31.878583908081055
2023-06-22,31.62848663330078
2023-06-23,31.49381446838379
2023-06-26,31.426477432250977
2023-06-27,31.67658233642578
2023-06-28,31.599624633789062
2023-06-29,32.147926330566406
2023-06-30,32.4268913269043
2023-07-03,32.60966110229492
2023-07-05,32.54232406616211
2023-07-06,32.26336669921875
2023-07-07,32.311466217041016
2023-07-10,32.455753326416016
2023-07-11,32.84052658081055
2023-07-12,33.05215072631836
2023-07-13,33.16758728027344
2023-07-14,32.94633865356445
2023-07-17,33.26377868652344
2023-07-18,33.63893127441406
2023-07-19,33.78321838378906
2023-07-20,34.033329010009766
2023-07-21,33.91788864135742
2023-07-24,34.24494934082031
2023-07-25,34.02370834350586
2023-07-26,34.225711822509766
2023-07-27,33.792842864990234
2023-07-28,33.86017990112305
2023-07-31,33.985233306884766
2023-08-01,33.985233306884766
2023-08-02,33.6966438293457
2023-08-03,33.715885162353516
2023-08-04,33.58121871948242
2023-08-07,34.05256652832031
2023-08-08,33.74474334716797
2023-08-09,33.49464416503906
2023-08-10,33.523502349853516
2023-08-11,33.5908317565918
2023-08-14,33.523502349853516
2023-08-15,32.907859802246094
2023-08-16,32.85976028442383
2023-08-17,32.696231842041016
2023-08-18,32.686614990234375
2023-08-21,32.64813995361328
