Date,VGK
2023-01-03,50.90528869628906
2023-01-04,51.87551498413086
2023-01-05,51.40399932861328
2023-01-06,52.7732048034668
2023-01-09,53.10870361328125
2023-01-10,53.36259841918945
2023-01-11,53.743431091308594
2023-01-12,54.40536880493164
2023-01-13,54.65925979614258
2023-01-17,54.795265197753906
2023-01-18,54.632057189941406
2023-01-19,54.36003112792969
2023-01-20,54.822471618652344
2023-01-23,55.07636642456055
2023-01-24,54.92221450805664
2023-01-25,55.13984298706055
2023-01-26,55.20331573486328
2023-01-27,55.02196502685547
2023-01-30,54.68646240234375
2023-01-31,55.07636642456055
2023-02-01,55.711097717285156
2023-02-02,55.81084060668945
2023-02-03,55.25771713256836
2023-02-06,54.65925979614258
2023-02-07,55.05823516845703
2023-02-08,54.831539154052734
2023-02-09,54.92221450805664
2023-02-10,54.47791290283203
2023-02-13,55.24864959716797
2023-02-14,55.5116081237793
2023-02-15,55.45719909667969
2023-02-16,55.13984298706055
2023-02-17,55.44813919067383
2023-02-21,54.81341552734375
2023-02-22,54.47791290283203
2023-02-23,54.822471618652344
2023-02-24,53.87944793701172
2023-02-27,54.67738723754883
2023-02-28,54.133338928222656
2023-03-01,54.47791290283203
2023-03-02,54.51417922973633
2023-03-03,55.21238327026367
2023-03-06,55.11262512207031
2023-03-07,53.961055755615234
2023-03-08,54.142398834228516
2023-03-09,53.62555694580078
2023-03-10,53.19938278198242
2023-03-13,52.81854248046875
2023-03-14,53.79783630371094
2023-03-15,51.76670455932617
2023-03-16,52.54651641845703
2023-03-17,51.75764465332031
2023-03-20,52.7706413269043
2023-03-21,53.780914306640625
2023-03-22,53.47145462036133
2023-03-23,53.48054885864258
2023-03-24,53.061885833740234
2023-03-27,53.6807861328125
2023-03-28,53.635284423828125
2023-03-29,54.49992752075195
2023-03-30,55.328163146972656
2023-03-31,55.473793029785156
2023-04-03,55.86515808105469
2023-04-04,55.8742561340332
2023-04-05,55.5648078918457
2023-04-06,56.038082122802734
2023-04-10,56.038082122802734
2023-04-11,56.25652313232422
2023-04-12,56.702491760253906
2023-04-13,57.4670295715332
2023-04-14,57.37601852416992
2023-04-17,57.10296630859375
2023-04-18,57.494327545166016
2023-04-19,57.366912841796875
2023-04-20,57.28499221801758
2023-04-21,57.712764739990234
2023-04-24,57.94940185546875
2023-04-25,56.97554016113281
2023-04-26,57.021053314208984
2023-04-27,57.685462951660156
2023-04-28,57.76737594604492
2023-05-01,57.77647399902344
2023-05-02,57.10296630859375
2023-05-03,57.28499221801758
2023-05-04,56.993743896484375
2023-05-05,57.84928512573242
2023-05-08,57.8583984375
2023-05-09,57.40331268310547
2023-05-10,57.33050537109375
2023-05-11,57.08475875854492
2023-05-12,56.93003463745117
2023-05-15,57.35780334472656
2023-05-16,56.75710678100586
2023-05-17,57.002845764160156
2023-05-18,56.89362716674805
2023-05-19,57.31230163574219
2023-05-22,57.23948287963867
2023-05-23,56.40214920043945
2023-05-24,55.5192985534668
2023-05-25,55.37367248535156
2023-05-26,55.98347473144531
2023-05-30,55.400978088378906
2023-05-31,54.80937576293945
2023-06-01,55.455589294433594
2023-06-02,56.110897064208984
2023-06-05,55.710426330566406
2023-06-06,55.919769287109375
2023-06-07,55.67402267456055
2023-06-08,56.32023620605469
2023-06-09,55.98347473144531
2023-06-12,56.229217529296875
2023-06-13,56.66608428955078
2023-06-14,56.8663215637207
2023-06-15,57.63995361328125
2023-06-16,57.59444046020508
2023-06-20,56.7784309387207
2023-06-21,56.66728973388672
2023-06-22,56.444976806640625
2023-06-23,55.75956726074219
2023-06-26,55.83366012573242
2023-06-27,56.39867401123047
2023-06-28,56.352359771728516
2023-06-29,56.26900100708008
2023-06-30,57.14892578125
